candidate_id,candidate_name,capability_id,status,evidence_url,evidence_checked_date,evidence_note
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,reference_detector_traceability,KNOWN_AVAILABLE,https://www.nrel.gov/pv/pvdpc/primary-reference-cell-calibrations,2026-08-27,"Official service page states ISO 17025-accredited primary/secondary reference cell and module calibration and a path for traceability to standards."
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,spectral_characterization,KNOWN_AVAILABLE,https://www.nrel.gov/docs/fy06osti/40123.pdf,2026-08-27,"Official NREL/NLR characterization material documents spectral-responsivity systems and QE/SR measurements across wavelength, temperature, voltage and light-level conditions; exact current custom-service scope still requires confirmation."
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,linearity_characterization,NEEDS_CONFIRMATION,https://www.nrel.gov/pv/facilities.html,2026-08-27,"Broad PV device-measurement capability is public, but no source reviewed explicitly commits to the v3.27 detector/source linearity evidence contract over the intended R2 range."
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,repeatability_campaign,NEEDS_CONFIRMATION,https://www.nrel.gov/pv/work-with-us.html,2026-08-27,"Partnership access is public, but custom multi-session/day repeated reference sweeps with frozen prospective holdout provenance are not explicitly offered on the reviewed pages."
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,electrical_step_characterization,NEEDS_CONFIRMATION,https://www.nrel.gov/pv/facilities.html,2026-08-27,"Electro-optical characterization is public; the exact characterized ~100 mV electrical reference-step injection through a frozen SMU/digitizer/cabling/software chain is not documented."
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,optical_step_characterization,NEEDS_CONFIRMATION,https://www.nrel.gov/pv/facilities.html,2026-08-27,"PV measurement facilities are public, but repeated 0.05<->2 sun R2 step-transient acquisition with the v3.27 timing/provenance contract is not documented."
NLR_PVDPC,National Laboratory of the Rockies PV Device Performance Calibration Services,voc_intensity_acquisition,NEEDS_CONFIRMATION,https://www.nrel.gov/docs/fy06osti/40123.pdf,2026-08-27,"Public material documents I-V and light-level-dependent characterization, but not the exact frozen 0.05-2 sun monotonic plus randomized-order Voc acquisition on one qualified R2 pixel."
IPVF,Institut Photovoltaïque d'Île-de-France,reference_detector_traceability,NEEDS_CONFIRMATION,https://www.ipvf.fr/en/machines/iqe-newport-oriel/,2026-08-27,"IQE equipment publicly states automatic calibration by reference diode, but reviewed pages do not establish a traceable calibration certificate/report satisfying the full v3.27 evidence roles."
IPVF,Institut Photovoltaïque d'Île-de-France,spectral_characterization,KNOWN_AVAILABLE,https://www.ipvf.fr/en/machines/iqe-newport-oriel/,2026-08-27,"Official equipment page documents EQE/IQE spectral response from 300-1800 nm with light bias and reference-diode calibration."
IPVF,Institut Photovoltaïque d'Île-de-France,linearity_characterization,NEEDS_CONFIRMATION,https://www.ipvf.fr/en/machines/iqe-newport-oriel/,2026-08-27,"Reviewed public equipment page does not explicitly document detector/source linearity characterization over the R2 acquisition range."
IPVF,Institut Photovoltaïque d'Île-de-France,repeatability_campaign,NEEDS_CONFIRMATION,https://www.ipvf.fr/en/machines/solar-simulator-oriel/,2026-08-27,"Solar-cell measurement and training access are documented, but the v3.27 multi-session/day repeatability campaign and untouched holdout workflow are not."
IPVF,Institut Photovoltaïque d'Île-de-France,electrical_step_characterization,NEEDS_CONFIRMATION,https://www.ipvf.fr/en/machines/solar-simulator-oriel/,2026-08-27,"The page documents a 4-wire source-meter setup; it does not document characterized electrical reference-step temporal qualification with fixed range/filter/aperture."
